$(OWNED)	(ЕСТЬ)
$NoDeviceSelected	Выбранное запоминающее устройство недоступно. При следующем сохранении выберите новое. Пока вы этого не сделаете, автосохранение будет недоступно.
$None	Нет
$NONE	НЕТ
$None_Available	Нет в доступе
$NoProfileSelected	Вы не вошли в профиль игрока. Вам нужно войти в профиль, а затем выбрать запоминающее устройство. Пока вы этого не сделаете, автосохранение будет недоступно.
$NOT_LINKED	НЕ СВЯЗАН
$NPC_IS_GETTING_UP	НИП поднимается
$NPE_BATTLE_READY_DWELLER	ЖИТЕЛЬ, ГОТОВЫЙ К БОЮ
$NPE_BATTLE_READY_DWELLER_DESC	Жители, готовые к бою, покидают Убежище на 20-м уровне с боекомплектом S.P.E.C.I.A.L. по своему выбору. Они готовы к более опасным испытаниям.
$NPE_Confirm	Подтвердить выбор боекомплекта S.P.E.C.I.A.L.?
$NPE_FRESH_DWELLER	ЖИТЕЛЬ-НОВИЧОК
$NPE_FRESH_DWELLER_DESC	Жители-новички покидают Убежище на 2-м уровне с выбранной ими способностью. Прежде чем взяться за сложные испытания, им потребуется время на обучение.
$NPE_LoadoutFailure	Не удалось установить боекомплект. Повторите попытку позже.
$NPE_PERKS	СПОСОБНОСТИ: {1}
$NUCLEARWINTERPERKINFO	Информация о картах способности Nuclear Winter
$NUKEBRIEFCASE	ЯДЕРНЫЙ ЧЕМОДАНЧИК
$NUKECODE	ЯДЕРНЫЙ КОД
$NukeConfirm	ПОДТВЕРДИТЬ
$NukeConfirmHeader	ПОДТВЕРДИТЬ ЗАПУСК
$NUKESLAUNCHED	РАКЕТЫ ЗАПУЩЕНЫ
$NUKESTRIKE	РАКЕТА ЗАПУЩЕНА
$OBJECTIVESHEADER	ЗАДАЧИ
$Object Fade	Дист. отрисовки объектов
$ObjFailed	[НЕУДАЧА]
$OFF	ВЫКЛ
$OFFER	ПРЕДЛОЖИТЬ
$OfferingTrade	Предлагает обмен
$OFFERS	ПРЕДЛОЖЕНИЯ
$OFFERSONLY	ТОЛЬКО ПРЕДЛОЖЕНИЯ
$Offline	Не в сети
$OK	ОК
$ON	ВКЛ
$Online	В сети
$OPEN	ОТКРЫТЬ
$OPEN PARTY	ОТКРЫТЬ ОТРЯД
$OPTIONS	НАСТРОЙКИ
$ORObjective	ИЛИ
$OtherPlayerLastDeath	Мешок с добычей (владелец: {1})
$OVERALL	Всего
$OVERSEER	СМОТРИТЕЛЬ
$OVERSEERRANK	РАНГ СМОТРИТЕЛЯ
$OVERSEERRANKSTAGING	Мой ранг Смотрителя
$OVERSEERRANKUP	РАНГ СМОТРИТЕЛЯ ПОВЫШЕН!
$OVERSEERTICKETS	БИЛЕТЫ СМОТРИТЕЛЯ
$OVERSEERTICKETTUTORIALPTONE	Билеты смотрителя выдаются, когда вы получаете дубликат уже имеющейся у вас способности. Эти билеты можно обменять на другие способности.
$OVERSEERTICKETTUTORIALTITLE	БИЛЕТЫ СМОТРИТЕЛЯ
$OVERSEERTITCKETTUTORIALDESCRIPTION	Меняйте полученные билеты на карты способностей Nuclear Winter!
$OVERSEERXP	ОПЫТ СМОТРИТЕЛЯ
$OVERSEERXPGAINED	ОПЫТ СМОТРИТЕЛЯ ПОЛУЧЕН
$Overwrite?	Перезаписать?
$OWNED	ПРИОБР.
$OWNED [NEEDS GAME RESET]	ПРИОБРЕТЕНО [МОЖНО АКТИВИРОВАТЬ]
$OWNED [NOT DOWNLOADED]	ПРИОБРЕТЕНО [НЕ ЗАГРУЖЕНО]
$Owned by player	Владелец: {1}
$OwnedBy	ВЛАДЕЛЕЦ ТОРГОВЦА:
$OWNED_MTXItem	(ПРИОБРЕТЕНО)
$OwnedObjectOwnerSubtitle	(ХОЗЯИН)
$Pacifist Mode	Режим пацифиста
$Pacifist_Setting_Desc	В режиме пацифиста вы не можете участвовать в PvP-сражениях и наносить урон другим игрокам, а они не могут убить вас.
$PAGE	СТР. {1} / {2}
$PAGEBONUS	ДОПОЛНИТЕЛЬНЫЕ НАГРАДЫ {1}
$PART	ЧАСТЬ
$Participants	Участники
$PARTY_DIALOGUE_VIEW	СЛУШАЙ
$Password	Пароль
$PatchRequired	Доступно обновление. Перезапустите игру после окончания установки.
$Pause	Пауза
$PENDING QUESTS	ДОСТУПНО
$PendingPromoteFailureMsg	Не удалось повысить задание...
$PENDING_GHOULIFY_ALREADY	Этот персонаж уже отправил запрос на превращение в гуля. Он будет обработан, как только вы подключитесь к серверу.
$PENDING_HUMANIZE_ALREADY	Этот персонаж уже отправил запрос на возвращение в человеческий облик. Он будет обработан, как только вы подключитесь к серверу.
$PEOPLE	ЛЮДИ
$PercentOff	{percent_value}%
$PercentOffText	скидка!
$PERCEPTION	ВОСПРИЯТИЕ
$Perk_Cards	Карты способностей
$Perk Card Pack	Набор карт способностей
$PERK CARD PACK	Набор карт способностей
$Perk_NextRankAvailable	НОВЫЙ УРОВЕНЬ!
$PerkCardLevelLabel	УРОВЕНЬ
$PerkCardNameAndRank	{1} ({2})
$PerkCardRankConfirmation_Loadouts1	Эти карты нельзя использовать с другими боекомплектами:
$PerkCardRankConfirmation_Loadouts2	Если у вас не осталось копий этих карт, создание карты более высокого уровня удалит их со всех боекомплектов. Хотите продолжить?
$PerkCardRankConfirmation_Subtitle	Использовать две карты для создания карты высшего уровня?
$PerkCardRankConfirmation_Title	НОВЫЙ УРОВЕНЬ!
$PerkCardScrapConfirm	Вы хотите разобрать эту карту, чтобы получить монеты способностей: {1}?
$PerkCardScrapLoadouts	Данная карта используется в других боекомплектах. Если у вас не осталось дополнительных копий, разбор этой карты удалит ее со всех боекомплектов.
$PerkCardScrapTooltip	(Монеты способностей используются для повышения уровня легендарных карт способностей.)
$PerkCardScrapBonus	Бонус! Разберите эту золотую карту, чтобы получить x5 монет способностей!
$PERKJOKE1	Как-то в баре: "Нет, дружище, мы не подаем готовые завтраки!" 
$PERKJOKE10	Ты знаешь, что Мистер Помощник недавно надрался? Потом неделю всем говорил, что ног не чувствует.
$PERKJOKE100	Один парень спер календарь. Получил в итоге двенадцать месяцев.
$PERKJOKE11	Семья путешествует на машине времени. Паренек сзади: "Долго еще? Мы уже лет сто едем!"
$PERKJOKE12	Почему Волт-Бой перешел через дорогу? — "По асфальту, по чему же еще!"
$PERKJOKE13	Знаешь шутку о затупившемся копье? Ее автор был не особо остер на язык.
$PERKJOKE14	Как позвать акулу к ужину? "Человек за бортом!"
$PERKJOKE15	Не могу дозвониться до похоронного бюро. Там что, все померли?
$PERKJOKE16	Совет: никогда не предлагайте ветерану Анкориджа холодные напитки.
$PERKJOKE17	Ищешь парня с большим опытом в сердечных делах? Присмотрись к своему кардиологу.
$PERKJOKE18	Твоя мамаша такая толстая... Что ей бы к доктору сходить. Я переживаю.
$PERKJOKE19	Почему ластик переехал? Решил начать жизнь с чистого листа.
$PERKJOKE2	Мистер Помощник как-то зашел в бар, пролил пиво и поскользнулся. 
$PERKJOKE20	Виноградинка уже устала звать арахис на свидание, а тот все не соглашается. "Крепкий орешек!"
$PERKJOKE21	Воздушный шарик как-то раз отложил свою свадьбу, да так и остался в подвешенном состоянии.
$PERKJOKE22	Однажды зверожоги решили устроить стенд-ап шоу в Харперс-Ферри. Вот это был угар!
$PERKJOKE23	Однажды Дракуле попалась настолько хладнокровная жертва, что он аж простыл.
$PERKJOKE24	С пожеланьями любви ты цветы мои прими. Только я не поливал их, вот и померли они.
$PERKJOKE25	Как сделать шоколадный фонтан? Вам понадобится один фонтан и сорок пять плиток шоколада.
$PERKJOKE26	Дерево заходит в бар и говорит: "Мне, пожалуйста, настой коры дуба".
$PERKJOKE27	Один адвокат считал, что за болтовню денег не платят, да так и умер с голоду.
$PERKJOKE28	Под Новый год календарь вдруг понял, что его дни сочтены.
$PERKJOKE29	Моя жена любит, когда мужчина в форме. Особенно если это Роджер.
$PERKJOKE3	Рецепт лучшей послевоенной пиццы: кладите всего и побольше, но только не грибы — ими уже наелись. 
$PERKJOKE30	Моя совесть чиста. Как мне это удается? Все просто: я ей не пользуюсь.
$PERKJOKE31	Получать бы по 5 центов за каждый проваленный тест по математике, у меня уже было бы... 97 центов!
$PERKJOKE32	Один парень решил ограбить зоопарк. У него, конечно, было сердце льва, но и медведь был быстр, как гепард.
$PERKJOKE33	Ольга очень похожа на матрешку — вся в себе.
$PERKJOKE34	Протектрон сказал военкому: "Как это не годен? Мой срок годности — четыреста лет!"
$PERKJOKE35	Ты хоть раз видел человека, недовольного штурмотроном? И не увидишь.
$PERKJOKE36	Иногда, лучше, не использовать, запятые, там, где они не нужны.
